"","colsum","rowsum"
"164",1378,1458
"165",2509,2157
"166",2071,1948
"167",1481,1515
"168",2380,2022
"169",5816,5709
"170",5546,5459
"171",4837,4742
"172",828,866
"173",1369,1419
"174",956,965
"175",956,1006
"176",1385,1340
"177",1166,1144
"178",1849,1773
"179",1716,1711
"180",6837,6839
"181",423,481
"182",1148,1128
"183",834,888
"184",1084,1028
"185",2172,2215
"186",1859,1713
"187",2260,2255
"188",2192,2334
"189",2139,2126
"190",1803,1714
"191",1708,1750
"192",1876,1737
"193",2803,2811
"194",2117,2002
"195",723,700
"196",1439,1276
"197",1871,1766
"198",1214,1252
"199",2628,2657
"200",1760,1698
"201",996,1024
"202",1066,1094
"203",2531,2497
"204",1100,1051
"205",1376,1413
"206",806,837
"207",1522,1422
"208",1542,1608
"209",624,693
"210",5455,5383
"211",5441,5388
"212",3613,3628
"213",1420,1368
"214",625,678
"215",1413,909
"216",833,784
"217",1663,1351
"218",950,1349
"219",692,635
"220",1658,1675
"221",1598,1557
"222",460,535
"223",180,287
"224",504,860
"225",327,588
"226",319,549
"227",510,584
"228",228,659
"229",587,735
"230",264,403
"231",157,156
"232",304,401
"233",1277,1221
"234",217,301
"235",1739,1200
"236",147,163
"237",156,199
"238",218,280
"239",127,332
"240",127,136
"241",3243,3095
"242",921,1009
"243",903,1042
"244",196,225
"245",155,186
"246",503,638
"247",175,272
"248",335,449
"249",193,305
"250",387,506
"251",101,71
"252",105,111
"253",549,575
"254",107,132
"255",371,397
"256",1257,1311
"257",283,307
"258",1113,1187
"259",1371,1351
"260",283,423
"261",541,558
"262",1019,1025
"263",129,148
"264",258,290
"265",482,548
"266",187,482
"267",224,231
"268",153,173
"269",425,419
"270",901,849
"271",581,642
"272",1109,1131
"273",299,307
"274",361,471
"275",456,607
"276",2826,2735
"277",532,561
"278",1238,1486
"279",3179,3107
"280",901,873
"281",1044,1076
"282",909,944
"283",612,629
"284",696,682
"285",1708,1562
"286",1337,1375
"287",1350,1326
"288",1091,1207
"289",3133,3170
"290",946,894
"291",2104,1984
"292",1669,1635
"293",603,529
"294",1201,1288
"295",1474,1676
"296",1606,1473
"297",1029,1014
"298",1017,1111
"299",7045,6445
"300",2927,2865
"301",1081,1107
"302",728,769
"303",1937,1863
"304",2150,2070
"305",685,777
"306",637,707
"307",873,911
"308",699,733
"309",1072,1106
"310",1841,1486
"311",411,424
"312",802,874
"313",1042,970
"314",1236,1193
"315",1330,1225
"316",866,970
"317",1818,1845
"318",491,512
"319",1362,1370
"320",466,492
"321",699,658
"322",1487,1312
"323",814,926
"324",49,53
"325",52,34
"326",40,33
"327",202,172
"328",502,432
"329",30,36
"330",222,220
"331",226,213
"332",98,107
"333",94,84
"334",90,101
"335",63,52
"336",18,19
"337",204,185
"338",66,85
"339",163,158
"340",184,149
"341",119,148
"342",195,210
"343",85,82
"344",251,196
"345",50,67
"346",157,111
"347",151,126
"348",79,62
"349",108,123
"350",150,142
"351",144,150
"352",467,458
"353",649,531
"354",402,367
"355",112,128
"356",141,161
"357",50,53
"358",143,247
"359",125,151
"360",111,138
"361",221,246
"362",76,95
"363",8,9
"364",58,67
"365",108,129
"366",17,16
"367",101,38
"368",99,51
"369",71,112
"370",131,161
"371",213,269
"372",31,29
"373",38,44
"374",56,47
"375",67,80
"376",78,106
"377",81,110
"378",91,161
"379",187,208
"380",158,166
"381",27,29
"382",89,98
"383",124,105
"384",90,89
"385",46,55
"386",130,135
"387",26,42
"388",123,121
"389",375,403
"390",156,264
"391",73,46
"392",59,87
"393",212,249
"394",52,67
"395",98,136
"396",31,30
"397",31,33
"398",90,86
"399",62,72
"400",66,58
"401",147,161
"402",23,19
"403",40,47
