"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"88",57,4,38,31,3,2,55,15,98,5,99,3,3,8,0,2,1,2,8,2,10,107,0,74,52,76,0,46,5,110,41,26,3,0,1,29,0,1,14,10,0,15,0,16,4,0,7,46,9,48,8,11,96,0,28,10,61,60,82,3,1,0,17,11,134,12,23,121,20,102,2,13,1,11,32,22,5,5,28,33,14,4,0,53,10,1412,38,522,233,56,368,22,11,0,0,6,16,5,10,4
"89",117,99,61,182,176,135,109,12,56,87,394,42,209,194,5,95,2,222,202,51,147,89,0,52,54,403,0,402,84,103,29,66,6,14,27,73,0,0,215,188,8,170,2,57,21,3,2,70,9,53,60,21,84,0,178,85,68,115,64,56,11,1,93,60,81,52,234,121,68,127,0,32,30,142,55,39,42,8,50,40,26,35,0,38,74,288,386,168,769,33,111,309,385,0,23,1,33,17,33,56
"90",4,1,2,4,0,1,3,17,15,1,8,0,3,0,0,1,1,1,3,0,0,12,0,10,12,26,0,2,0,12,0,19,0,0,0,1,0,1,1,1,0,0,0,3,0,1,0,7,1,4,5,4,6,0,4,2,13,10,4,0,1,0,2,1,19,0,3,5,4,0,0,6,0,1,2,15,1,1,6,3,0,1,0,2,0,127,4,66,46,56,27,4,4,0,0,0,3,2,0,0
"91",37,6,2,24,1,3,9,65,14,2,41,4,19,10,1,2,0,3,13,1,6,61,0,62,35,50,0,9,3,21,16,15,0,3,2,3,0,0,6,10,1,4,0,5,3,0,2,46,6,26,2,9,39,3,14,4,38,48,40,2,1,10,7,3,42,1,11,39,17,5,0,4,0,9,13,2,5,3,29,3,3,3,0,25,0,248,24,329,105,27,566,8,14,0,0,0,5,0,6,2
"92",24,31,85,86,14,81,88,1,157,62,57,18,172,130,1,49,0,6,53,3,51,4,0,6,1,24,1,148,41,3,1,49,6,5,12,157,0,7,139,210,1,60,0,60,12,0,0,4,7,6,37,26,41,0,254,5,28,31,19,2,1,0,51,91,26,33,42,27,144,7,0,87,0,72,100,1,28,4,9,20,11,23,0,18,10,18,353,29,356,11,23,219,281,0,16,0,20,6,24,33
"93",34,81,112,157,22,155,40,1,23,32,44,63,79,212,6,127,0,31,64,5,144,5,0,4,1,44,0,145,55,61,2,48,126,14,64,78,1,9,285,222,6,345,5,49,13,2,1,5,23,15,81,29,36,0,294,65,22,1,25,32,11,0,87,119,104,62,35,7,68,69,0,72,4,68,53,10,98,26,6,69,53,50,0,11,41,76,190,12,335,8,14,352,234,0,35,0,21,23,37,53
"94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0
"95",1,10,49,5,26,16,4,0,3,9,7,51,25,31,1,24,0,13,65,16,19,0,0,0,1,89,0,8,12,1,0,2,15,4,181,1,0,7,174,107,1,114,1,6,10,2,1,0,21,5,4,5,8,1,47,6,3,5,3,71,7,0,46,20,3,2,4,1,5,0,0,5,3,8,1,3,10,0,2,3,57,30,0,0,2,2,44,22,135,1,3,33,118,0,61,0,1,4,62,10
"96",1,0,2,3,0,0,3,3,1,0,0,1,0,3,0,2,192,0,0,0,1,0,0,0,0,0,0,6,0,33,0,3,0,0,2,7,0,0,2,2,0,2,0,9,0,0,143,0,0,0,0,0,1,0,3,0,9,0,7,0,0,0,1,7,1,0,3,14,6,6,20,0,0,0,0,0,0,3,0,0,1,0,0,4,0,0,1,3,0,0,12,0,0,0,0,232,0,0,1,0
"97",50,6,39,110,1,13,69,59,13,9,3,5,62,33,1,4,2,0,51,0,11,0,0,21,7,4,0,59,18,84,5,55,3,2,23,15,0,0,41,51,1,48,0,148,3,0,2,1,6,1,19,28,39,0,142,23,103,0,71,7,4,0,18,43,139,198,328,70,34,24,0,293,0,160,64,0,33,50,1,34,68,47,0,89,35,55,17,24,77,1,9,16,7,0,1,2,639,136,172,54
"98",95,20,31,60,1,26,19,7,18,35,8,6,149,214,7,115,0,1,239,1,66,3,0,2,3,1,0,89,35,29,0,48,4,4,120,162,0,2,94,109,37,92,1,64,91,0,0,0,22,3,50,129,101,0,199,74,44,0,35,16,35,0,33,202,42,81,47,19,84,8,0,61,0,118,34,4,74,11,1,49,91,25,0,12,20,6,19,17,58,1,20,13,30,0,2,0,95,111,139,108
"99",38,37,35,71,0,87,49,8,18,52,5,68,97,95,10,72,1,1,84,0,155,1,0,5,1,6,0,58,119,20,0,24,12,17,84,40,0,10,292,155,24,425,3,36,31,1,3,3,26,0,60,122,99,1,636,406,60,0,90,40,55,0,70,376,59,97,56,35,62,23,0,88,1,72,52,3,157,5,0,135,215,156,0,35,143,5,8,15,79,3,13,137,50,0,55,3,145,89,285,276
"100",33,130,52,50,1,141,39,0,27,49,5,62,171,95,5,201,4,11,86,0,392,1,0,2,0,1,0,111,204,46,0,39,34,39,175,178,0,10,277,213,27,501,12,86,89,7,1,0,136,4,84,167,137,8,700,304,64,0,60,105,152,0,184,769,145,163,164,28,201,20,0,184,0,162,125,2,231,17,0,48,170,124,0,10,88,8,27,10,155,2,7,35,66,0,7,1,55,100,213,334
